acc	gp	match_score	canonical_agrD	multiple_agr	frameshifts
ERX067791	gp2	15	1	s	0
ERX094751	gp1	13	1	s	0
ERX094780	gp1	13	1	s	0
ERX100648	gp1	13	1	s	0
ERX1027819	gp2	15	1	s	1
ERX1033538	gp1	13	1	s	0
ERX1033539	gp1	13	1	s	0
ERX1033551	gp4	14	1	s	0
ERX1033553	gp3	15	1	s	0
ERX1033560	gp2	15	1	s	1
ERX1033561	gp3	15	1	s	0
ERX1033570	gp1	13	1	s	0
ERX1033572	gp3	15	1	s	0
ERX1033578	gp2	15	1	s	0
ERX1033583	gp1	5	1	s	0
ERX104859	gp1	13	1	s	0
ERX105445	gp1	13	1	s	0
ERX105473	gp2	15	1	s	0
ERX110351	gp3	15	1	s	0
ERX110364	gp2	15	1	m	u
ERX110366	gp2	15	1	s	0
ERX110372	gp1	13	1	s	0
ERX110374	gp1	13	1	s	0
ERX110382	gp3	15	1	s	0
ERX110385	gp1	13	1	s	0
ERX110407	gp3	15	1	s	0
ERX110417	gp2	15	1	s	0
ERX110422	gp1	13	1	s	0
ERX110424	gp1	13	1	s	1
ERX110631	gp1	13	1	s	0
ERX110650	gp1	13	1	s	0
ERX110677	gp1	13	1	s	0
ERX110757	gp1	13	1	s	0
ERX110848	gp1	13	1	s	0
ERX110870	gp1	12	1	s	0
ERX110871	gp1	13	1	s	0
ERX113350	gp1	13	1	s	0
ERX113973	gp1	13	1	s	0
ERX114014	gp1	13	1	s	0
ERX116909	gp1	13	1	s	0
ERX120678	gp3	15	1	s	0
ERX120683	gp4	14	1	s	0
ERX120705	gp2	15	1	s	0
ERX120720	gp3	15	1	m	0
ERX120724	gp3	15	1	s	0
ERX1268913	gp1	13	1	s	u
ERX1269028	gp1	13	1	s	0
ERX1269074	gp2	15	1	s	0
ERX1269101	gp1	13	1	s	0
ERX1269132	gp2	15	1	s	0
ERX1269140	gp1	13	1	s	0
ERX1269214	gp2	15	1	s	0
ERX1269223	gp2	15	1	s	0
ERX1269230	gp1	13	1	s	0
ERX1269245	gp1	13	1	s	0
ERX1269274	gp2	15	1	s	u
ERX1269476	gp1	13	1	s	0
ERX1269490	gp1	13	1	s	0
ERX1269772	gp1	13	1	s	0
ERX1285972	gp4	13	1	s	0
ERX1285974	gp1	7	1	s	0
ERX1285993	gp2	15	1	s	0
ERX1285998	gp3	15	1	s	0
ERX132283	gp1	13	1	m	0
ERX132327	gp4	14	1	s	0
ERX132355	gp3	15	1	s	0
ERX132371	gp3	15	1	s	0
ERX139238	gp3	15	1	s	0
ERX139247	gp3	15	1	m	u
