Start	End	ConsistencyIndex	Counts	MinimumNumberChangesOnTree
5	5	0.3333333333333333	704:2	3
177	177	0.3333333333333333	704:2	3
231	231	0.25	703:3	4
255	255	1	705:1	-
296	296	1	705:1	-
339	339	1	705:1	-
544	544	0.3333333333333333	704:2	3
621	621	1	705:1	-
642	642	1	705:1	-
671	671	1	705:1	-
678	678	1	705:1	-
709	709	1	705:1	-
853	853	1	705:1	-
1238	1238	1	705:1	-
1246	1246	1	705:1	-
1248	1248	1	705:1	-
1389	1389	1	705:1	-
1499	1499	0.5	704:2	2
1510	1510	0.25	703:3	4
1581	1581	1	705:1	-
1635	1635	1	705:1	-
1675	1675	1	705:1	-
1696	1696	1	705:1	-
1727	1727	1	705:1	-
1732	1732	1	705:1	-
1816	1816	1	705:1	-
1926	1926	0.3333333333333333	704:2	3
1983	1983	1	705:1	-
2027	2027	0.25	703:3	4
2225	2225	1	705:1	-
2336	2336	1	705:1	-
