type	operon	gene	total	variable	percentage	canon_len	variable/len
RR	agr	agrA	42641	1438	3.372341174	717	2.005578801
HK	agr	agrC	42649	2488	5.833665502	1293	1.92420727
RR	arl	arlR	42661	150	0.351609198	660	0.227272727
HK	arl	arlS	42582	459	1.077920248	1356	0.338495575
HK	kdp	kdpD	42538	1380	3.244158164	2658	0.519187359
RR	kdp	kdpE	42443	274	0.645571708	696	0.393678161
HK	nre	nreB	42702	286	0.669757857	1035	0.276328502
RR	nre	nreC	42704	224	0.524541027	654	0.342507645
RR	pho	phoP	42680	88	0.206185567	705	0.124822695
HK	pho	phoR	42637	293	0.687196566	1665	0.175975976
RR	srr	srrA	42790	73	0.170600608	726	0.100550964
HK	srr	srrB	42729	282	0.65997332	1752	0.160958904
HK	wal	walK	42730	341	0.798034168	1827	0.186644773
RR	wal	walR	42804	186	0.434538828	702	0.264957265
