operon_acc	operon_repacc	AgrA_repacc	AgrB_repacc	AgrC_repacc	CC	gp	fs
ERX001214	ERX001214	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX001248	ERX001248	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX001250	ERX001248	ERX015344	ERX063815	ERX001214	CC8	gp1	0
ERX001254	ERX001254	ERX015344	ERX063815	ERX001254	CC8	gp1	0
ERX001260	ERX001214	ERX015344	ERX063815	ERX001214	Other	gp1	0
ERX001270	ERX001270	ERX001270	ERX063815	ERX001290	CC8	gp1	1
ERX001290	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009584	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009585	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009586	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009587	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009684	ERX009684	ERX015344	ERX063815	ERX009684	CC8	gp1	0
ERX009685	ERX009684	ERX015344	ERX063815	ERX009684	CC8	gp1	0
ERX009720	ERX009720	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009722	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX009881	ERX009684	ERX015344	ERX063815	ERX009684	CC8	gp1	0
ERX009882	ERX009684	ERX015344	ERX063815	ERX009684	CC8	gp1	0
ERX009883	ERX009684	ERX015344	ERX063815	ERX009684	CC8	gp1	0
ERX009884	ERX009684	ERX015344	ERX063815	ERX009684	CC8	gp1	0
ERX010240	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX010241	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX010242	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX010243	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX010273	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX010274	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX010724	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX010727	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX010728	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX010729	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX011863	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX012498	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX012593	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX012594	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013809	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013810	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013811	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013812	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013813	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013814	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013815	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX013816	ERX001290	ERX015344	ERX063815	ERX001290	CC8	gp1	0
ERX015308	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015335	ERX015335	ERX1150171	ERX015308	ERX015308	CC30	gp3	0
ERX015340	ERX015340	ERX015344	ERX015308	ERX015340	CC30	gp3	1
ERX015342	ERX015342	ERX015344	ERX015308	ERX015342	CC30	gp3	0
ERX015344	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015346	ERX015346	ERX015344	ERX015344	ERX015346	CC22	gp1	0
ERX015347	ERX015347	ERX015344	ERX015344	NA	CC22	gp1	1
ERX015350	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015352	ERX015352	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015353	ERX015353	ERX015353	ERX015344	ERX015344	CC22	gp1	0
ERX015354	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015355	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015356	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015357	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015358	ERX015358	ERX015358	ERX015344	ERX015344	CC22	gp1	0
ERX015359	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015360	ERX015360	ERX015344	ERX015308	ERX015360	CC30	gp3	0
ERX015361	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015363	ERX015363	ERX015344	ERX015308	ERX015363	CC30	gp3	0
ERX015365	ERX010240	ERX015344	ERX015344	ERX010240	CC22	gp1	0
ERX015367	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015368	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015370	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015371	ERX015371	ERX015344	ERX015344	ERX015371	CC22	gp1	0
ERX015372	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015373	ERX015373	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015374	ERX015344	ERX015344	ERX015344	ERX015344	CC22	gp1	0
ERX015556	ERX015556	ERX015344	ERX015556	ERX015556	CC45	gp1	0
ERX015557	ERX015308	ERX015344	ERX015308	ERX015308	CC30	gp3	0
ERX015575	ERX015575	ERX015878	ERX015893	ERX016592	Other	gp2	0
ERX015578	ERX015578	ERX015344	ERX015308	ERX015578	CC30	gp3	0
